source,target,Period,total_votes_shared,total_votes_agreed,weight,topic
Dansk Folkeparti,Dansk Folkeparti,65,635,635.0,1.0,klima_miljø
Dansk Folkeparti,Det Konservative Folkeparti,65,887,784.0,0.8838782412626832,klima_miljø
Dansk Folkeparti,Enhedslisten,65,111,27.0,0.2432432432432432,klima_miljø
Dansk Folkeparti,Kristendemokraterne,65,310,173.0,0.5580645161290323,klima_miljø
Dansk Folkeparti,Radikale Venstre,65,441,259.0,0.5873015873015873,klima_miljø
Dansk Folkeparti,Socialdemokratiet,65,1817,868.0,0.4777105118326912,klima_miljø
Dansk Folkeparti,Socialistisk Folkeparti,65,594,254.0,0.4276094276094276,klima_miljø
Dansk Folkeparti,Uden for Folketingsgrupperne,65,27,27.0,1.0,klima_miljø
Dansk Folkeparti,Venstre,65,2464,2150.0,0.872564935064935,klima_miljø
Det Konservative Folkeparti,Det Konservative Folkeparti,65,249,249.0,1.0,klima_miljø
Det Konservative Folkeparti,Enhedslisten,65,65,26.0,0.4,klima_miljø
Det Konservative Folkeparti,Kristendemokraterne,65,196,129.0,0.6581632653061225,klima_miljø
Det Konservative Folkeparti,Radikale Venstre,65,275,199.0,0.7236363636363636,klima_miljø
Det Konservative Folkeparti,Socialdemokratiet,65,1148,675.0,0.587979094076655,klima_miljø
Det Konservative Folkeparti,Socialistisk Folkeparti,65,361,187.0,0.518005540166205,klima_miljø
Det Konservative Folkeparti,Uden for Folketingsgrupperne,65,16,16.0,1.0,klima_miljø
Det Konservative Folkeparti,Venstre,65,1542,1542.0,1.0,klima_miljø
Enhedslisten,Enhedslisten,65,1,1.0,1.0,klima_miljø
Enhedslisten,Kristendemokraterne,65,24,19.0,0.7916666666666666,klima_miljø
Enhedslisten,Radikale Venstre,65,35,30.0,0.8571428571428571,klima_miljø
Enhedslisten,Socialdemokratiet,65,139,116.0,0.8345323741007195,klima_miljø
Enhedslisten,Socialistisk Folkeparti,65,46,43.0,0.9347826086956522,klima_miljø
Enhedslisten,Uden for Folketingsgrupperne,65,2,1.0,0.5,klima_miljø
Enhedslisten,Venstre,65,202,86.0,0.4257425742574257,klima_miljø
Kristendemokraterne,Kristendemokraterne,65,17,16.0,0.9411764705882352,klima_miljø
Kristendemokraterne,Radikale Venstre,65,96,76.0,0.7916666666666666,klima_miljø
Kristendemokraterne,Socialdemokratiet,65,398,364.0,0.914572864321608,klima_miljø
Kristendemokraterne,Socialistisk Folkeparti,65,130,109.0,0.8384615384615385,klima_miljø
Kristendemokraterne,Uden for Folketingsgrupperne,65,6,4.0,0.6666666666666666,klima_miljø
Kristendemokraterne,Venstre,65,540,363.0,0.6722222222222223,klima_miljø
Radikale Venstre,Radikale Venstre,65,47,47.0,1.0,klima_miljø
Radikale Venstre,Socialdemokratiet,65,560,461.0,0.8232142857142857,klima_miljø
Radikale Venstre,Socialistisk Folkeparti,65,185,149.0,0.8054054054054054,klima_miljø
Radikale Venstre,Uden for Folketingsgrupperne,65,10,7.0,0.7,klima_miljø
Radikale Venstre,Venstre,65,751,520.0,0.6924101198402131,klima_miljø
Socialdemokratiet,Socialdemokratiet,65,1071,1071.0,1.0,klima_miljø
Socialdemokratiet,Socialistisk Folkeparti,65,763,649.0,0.8505897771952818,klima_miljø
Socialdemokratiet,Uden for Folketingsgrupperne,65,36,24.0,0.6666666666666666,klima_miljø
Socialdemokratiet,Venstre,65,3182,1900.0,0.5971087366436204,klima_miljø
Socialistisk Folkeparti,Socialistisk Folkeparti,65,98,98.0,1.0,klima_miljø
Socialistisk Folkeparti,Uden for Folketingsgrupperne,65,13,8.0,0.6153846153846154,klima_miljø
Socialistisk Folkeparti,Venstre,65,1042,561.0,0.5383877159309021,klima_miljø
Uden for Folketingsgrupperne,Venstre,65,50,50.0,1.0,klima_miljø
Venstre,Venstre,65,2092,2092.0,1.0,klima_miljø
Dansk Folkeparti,Dansk Folkeparti,66,19793,19771.0,0.9988884959329056,klima_miljø
Dansk Folkeparti,Det Konservative Folkeparti,66,30446,29104.0,0.955921960191815,klima_miljø
Dansk Folkeparti,Enhedslisten,66,3456,861.0,0.2491319444444444,klima_miljø
Dansk Folkeparti,Inuit Ataqatigiit,66,41,14.0,0.3414634146341463,klima_miljø
Dansk Folkeparti,Liberal Alliance,66,22,0.0,0.0,klima_miljø
Dansk Folkeparti,Radikale Venstre,66,11032,6139.0,0.5564720812182741,klima_miljø
Dansk Folkeparti,Siumut,66,107,93.0,0.8691588785046729,klima_miljø
Dansk Folkeparti,Socialdemokratiet,66,29024,14488.0,0.4991730981256891,klima_miljø
Dansk Folkeparti,Socialistisk Folkeparti,66,21818,9099.0,0.4170409753414612,klima_miljø
Dansk Folkeparti,Tjóðveldi,66,70,40.0,0.5714285714285714,klima_miljø
Dansk Folkeparti,Uden for Folketingsgrupperne,66,116,116.0,1.0,klima_miljø
Dansk Folkeparti,Venstre,66,53910,51507.0,0.9554257095158598,klima_miljø
Det Konservative Folkeparti,Det Konservative Folkeparti,66,9971,9954.0,0.998295055661418,klima_miljø
Det Konservative Folkeparti,Enhedslisten,66,2509,596.0,0.237544838581108,klima_miljø
Det Konservative Folkeparti,Inuit Ataqatigiit,66,29,19.0,0.6551724137931034,klima_miljø
Det Konservative Folkeparti,Liberal Alliance,66,14,14.0,1.0,klima_miljø
Det Konservative Folkeparti,Radikale Venstre,66,7916,4808.0,0.607377463365336,klima_miljø
Det Konservative Folkeparti,Siumut,66,82,63.0,0.7682926829268293,klima_miljø
Det Konservative Folkeparti,Socialdemokratiet,66,20794,11489.0,0.5525151486005578,klima_miljø
Det Konservative Folkeparti,Socialistisk Folkeparti,66,15679,7192.0,0.4587027233879712,klima_miljø
Det Konservative Folkeparti,Tjóðveldi,66,51,21.0,0.4117647058823529,klima_miljø
Det Konservative Folkeparti,Uden for Folketingsgrupperne,66,91,91.0,1.0,klima_miljø
Det Konservative Folkeparti,Venstre,66,38544,38473.0,0.9981579493565796,klima_miljø
